in Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

123
Max Value:    -156.91 m/s^2
Min Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

Accelerometer Test

------------------------------------
Sensor:       ADXL345
Driver Ver:   1
Unique ID:    123
Max Value:    -156.91 m/s^2
Min Value:    156.91 m/s^2
Resolution:   0.04 m/s^2
------------------------------------

Data Rate:    1600  Hz
Range:         +/- 8  g

Offset 8000
535,26,65520,250
536,24,65518,248
537,16,65514,244
538,16,65514,244
539,22,65522,248
540,20,65514,252
541,24,65518,252
542,18,65524,246
543,16,65518,246
544,24,65520,250
545,14,65512,240
546,12,65516,244
547,24,65522,250
548,22,65520,256
549,20,65520,248
550,26,65522,250
551,26,65514,250
552,22,65518,252
553,18,65514,246
554,20,65508,244
555,24,65524,252
556,26,65522,254
557,26,65518,252
558,26,65508,254
559,28,65518,252
560,24,65522,250
561,22,65514,240
562,16,65512,244
563,20,65516,244
564,22,65522,254
565,24,65524,252
566,20,65516,246
567,24,65518,256
568,18,65512,242
569,22,65508,252
570,24,65514,250
571,22,65518,250
572,22,65522,252
573,28,65520,246
574,24,65518,250
575,26,65518,256
576,20,65518,250
577,16,65512,244
578,18,65518,244
579,22,65518,256
580,22,65522,248
581,16,65514,250
582,22,65516,252
583,26,65520,254
584,18,65516,248
585,18,65512,252
586,24,65516,246
587,22,65518,254
588,24,65520,246
589,24,65522,248
590,16,65524,252
591,24,65522,250
592,20,65508,242
593,14,65516,246
594,28,65518,250
595,24,65520,250
596,10,65532,244
597,24,65518,250
598,28,65526,252
599,24,65518,252
600,18,65512,242
601,18,65510,244
602,24,65520,252
603,28,65522,252
604,20,65514,246
605,24,65520,248
606,30,65520,256
607,20,65520,246
608,22,65510,242
609,18,65516,246
610,26,65518,248
611,24,65518,248
612,22,65520,248
613,26,65516,248
614,26,65514,254
615,24,65518,250
616,16,65516,240
617,14,65514,248
618,24,65520,248
619,20,65514,234
620,28,65514,246
621,26,65518,250
622,20,65514,232
623,26,65514,252
624,16,65510,240
625,22,65514,244
626,28,65520,248
627,30,65518,256
628,24,65516,256
629,24,65520,248
630,20,65514,232
631,30,65518,248
632,20,65510,248
633,18,65512,244
634,30,65514,248
635,28,65512,248
636,24,65518,252
637,18,65514,252
638,26,65514,256
639,26,65510,254
640,22,65510,250
641,22,65512,246
642,24,65514,250
643,24,65516,248
644,24,65512,240
645,24,65514,250
646,30,65516,250
647,18,65510,248
648,20,65510,244
649,20,65514,254
650,28,65516,252
651,30,65514,252
652,26,65514,252
653,24,65514,250
654,26,65512,248
655,32,65516,248
656,22,65506,246
657,28,65508,256
658,28,65518,250
659,32,65514,250
660,20,65510,236
661,30,65518,246
662,28,65516,250
663,24,65518,234
664,24,65508,242
665,24,65520,244
666,28,65518,252
667,24,65520,252
668,26,65520,246
669,28,65518,248
670,32,65514,256
671,26,65506,246
672,22,65510,248
673,28,65520,242
674,28,65516,246
675,30,65516,244
676,26,65518,250
677,30,65518,256
678,28,65514,252
679,20,65510,244
680,22,65510,242
681,30,65512,248
682,26,65520,254
683,18,65514,244
684,24,65516,252
685,28,65516,252
686,18,65514,244
687,20,65514,244
688,20,65508,244
689,26,65520,248
690,26,65520,254
691,24,65516,250
692,24,65520,250
693,22,65518,254
694,22,65520,258
695,22,65508,242
696,16,65512,246
697,28,65514,252
698,24,65518,248
699,24,65520,248
700,24,65520,244
701,18,65522,246
702,24,65516,248
703,14,65508,240
704,16,65514,244
705,28,65518,248
706,22,65518,246
707,20,65520,254
708,20,65522,244
709,24,65526,246
710,18,65522,248
711,12,65516,240
712,16,65512,244
713,18,65516,248
714,24,65514,248
715,24,65520,250
